hexagram_id,name,chinese,pinyin,unicode,binary,upper_trigram,lower_trigram,upper_element,lower_element,category,polarity,action,action_polarity,voiceWeight,coherence,chaos,whimsy,darkTone,inject_primary,inject_secondary,porosity,reflection_past,reflection_present,reflection_future
32,Duration,恆,héng,䷟,011100,Xun,Zhen,Wind,Thunder,boundary,yin,WAIT,yin,0.64,0.86,0.17,0.1,0.27,soft_persistence,sudden_awakening,3,Past echo from Duration: Thunder below Wind — Edge-state trembling between worlds revisited. The arousing root feeds memory.,"Present voice of Duration: 恆 héng — Wind over Thunder. Duration is the gentle meeting arousing, wait as boundary.",Future signal from Duration: next move leans wait within boundary. The Wind ascends from Thunder foundation.
33,Retreat,遯,dùn,䷠,001111,Gen,Qian,Mountain,Heaven,boundary,yin,YIELD,yin,0.7,0.85,0.17,0.2,0.11,quiet_strength,genesis_spark,3,Past echo from Retreat: Heaven below Mountain — Edge-state trembling between worlds revisited. The creative root feeds memory.,"Present voice of Retreat: 遯 dùn — Mountain over Heaven. Retreat is the still meeting creative, yield as boundary.",Future signal from Retreat: next move leans yield within boundary. The Mountain ascends from Heaven foundation.
34,Power of the Great,大壯,dà zhuàng,䷡,111100,Qian,Zhen,Heaven,Thunder,sovereign,yang,ASSERT,yang,1.0,0.97,0.07,0.12,0.11,genesis_spark,sudden_awakening,1,Past echo from Power of the Great: Thunder below Heaven — Sovereign command echoing from genesis revisited. The arousing root feeds memory.,"Present voice of Power of the Great: 大壯 dà zhuàng — Heaven over Thunder. Power of the Great is the creative meeting arousing, assert as sovereign.",Future signal from Power of the Great: next move leans assert within sovereign. The Heaven ascends from Thunder foundation.
35,Progress,晉,jìn,䷢,000101,Kun,Li,Earth,Fire,transformer,yao,ADAPT,yao,0.77,0.68,0.38,0.43,0.21,earthy_patience,persistent_clarity,2,Past echo from Progress: Fire below Earth — Form dissolving into new shape revisited. The clinging root feeds memory.,"Present voice of Progress: 晉 jìn — Earth over Fire. Progress is the receptive meeting clinging, adapt as transformer.",Future signal from Progress: next move leans adapt within transformer. The Earth ascends from Fire foundation.
36,Darkening of the Light,明夷,míng yí,䷣,101000,Li,Kun,Fire,Earth,dissipator,yin,WAIT,yin,0.51,0.56,0.5,0.25,0.51,persistent_clarity,earthy_patience,4,Past echo from Darkening of the Light: Earth below Fire — Energy scattering before reassembly revisited. The receptive root feeds memory.,"Present voice of Darkening of the Light: 明夷 míng yí — Fire over Earth. Darkening of the Light is the clinging meeting receptive, wait as dissipator.",Future signal from Darkening of the Light: next move leans wait within dissipator. The Fire ascends from Earth foundation.
37,The Family,家人,jiā rén,䷤,101011,Li,Xun,Fire,Wind,transformer,yao,YIELD,yin,0.78,0.82,0.22,0.37,0.04,persistent_clarity,soft_persistence,2,Past echo from The Family: Wind below Fire — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of The Family: 家人 jiā rén — Fire over Wind. The Family is the clinging meeting gentle, yield as transformer.",Future signal from The Family: next move leans yield within transformer. The Fire ascends from Wind foundation.
38,Opposition,睽,kuí,䷥,110101,Dui,Li,Lake,Fire,dissipator,yin,ADAPT,yao,0.65,0.47,0.57,0.32,0.34,open_pleasure,persistent_clarity,4,Past echo from Opposition: Fire below Lake — Energy scattering before reassembly revisited. The clinging root feeds memory.,"Present voice of Opposition: 睽 kuí — Lake over Fire. Opposition is the joyous meeting clinging, adapt as dissipator.",Future signal from Opposition: next move leans adapt within dissipator. The Lake ascends from Fire foundation.
39,Obstruction,蹇,jiǎn,䷦,010100,Gen,Kan,Mountain,Water,dissipator,yin,WAIT,yin,0.51,0.56,0.5,0.25,0.51,quiet_strength,deep_test,4,Past echo from Obstruction: Water below Mountain — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of Obstruction: 蹇 jiǎn — Mountain over Water. Obstruction is the still meeting abysmal, wait as dissipator.",Future signal from Obstruction: next move leans wait within dissipator. The Mountain ascends from Water foundation.
40,Deliverance,解,xiè,䷧,001010,Kan,Zhen,Water,Thunder,transformer,yao,ADAPT,yao,0.77,0.68,0.38,0.43,0.21,deep_test,sudden_awakening,2,Past echo from Deliverance: Thunder below Water — Form dissolving into new shape revisited. The arousing root feeds memory.,"Present voice of Deliverance: 解 xiè — Water over Thunder. Deliverance is the abysmal meeting arousing, adapt as transformer.",Future signal from Deliverance: next move leans adapt within transformer. The Water ascends from Thunder foundation.
41,Decrease,損,sǔn,䷨,100011,Dui,Gen,Lake,Mountain,transformer,yao,YIELD,yin,0.75,0.8,0.25,0.4,0.1,open_pleasure,quiet_strength,2,Past echo from Decrease: Mountain below Lake — Form dissolving into new shape revisited. The still root feeds memory.,"Present voice of Decrease: 損 sǔn — Lake over Mountain. Decrease is the joyous meeting still, yield as transformer.",Future signal from Decrease: next move leans yield within transformer. The Lake ascends from Mountain foundation.
42,Increase,益,yì,䷩,110001,Zhen,Xun,Thunder,Wind,transformer,yao,ASSERT,yang,0.85,0.8,0.25,0.3,0.2,sudden_awakening,soft_persistence,2,Past echo from Increase: Wind below Thunder — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of Increase: 益 yì — Thunder over Wind. Increase is the arousing meeting gentle, assert as transformer.",Future signal from Increase: next move leans assert within transformer. The Thunder ascends from Wind foundation.
43,Breakthrough,夬,guài,䷪,111110,Qian,Dui,Heaven,Lake,sovereign,yang,ASSERT,yang,1.0,0.98,0.05,0.09,0.05,genesis_spark,open_pleasure,1,Past echo from Breakthrough: Lake below Heaven — Sovereign command echoing from genesis revisited. The joyous root feeds memory.,"Present voice of Breakthrough: 夬 guài — Heaven over Lake. Breakthrough is the creative meeting joyous, assert as sovereign.",Future signal from Breakthrough: next move leans assert within sovereign. The Heaven ascends from Lake foundation.
44,Coming to Meet,姤,gòu,䷫,011111,Xun,Qian,Wind,Heaven,boundary,yin,WAIT,yin,0.69,0.89,0.12,0.04,0.15,soft_persistence,genesis_spark,3,Past echo from Coming to Meet: Heaven below Wind — Edge-state trembling between worlds revisited. The creative root feeds memory.,"Present voice of Coming to Meet: 姤 gòu — Wind over Heaven. Coming to Meet is the gentle meeting creative, wait as boundary.",Future signal from Coming to Meet: next move leans wait within boundary. The Wind ascends from Heaven foundation.
45,Gathering Together,萃,cuì,䷬,000110,Kun,Dui,Earth,Lake,transformer,yao,YIELD,yin,0.72,0.78,0.28,0.43,0.16,earthy_patience,open_pleasure,2,Past echo from Gathering Together: Lake below Earth — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Gathering Together: 萃 cuì — Earth over Lake. Gathering Together is the receptive meeting joyous, yield as transformer.",Future signal from Gathering Together: next move leans yield within transformer. The Earth ascends from Lake foundation.
46,Pushing Upward,升,shēng,䷭,011000,Xun,Kun,Wind,Earth,transformer,yao,ADAPT,yao,0.77,0.68,0.38,0.43,0.21,soft_persistence,earthy_patience,2,Past echo from Pushing Upward: Earth below Wind — Form dissolving into new shape revisited. The receptive root feeds memory.,"Present voice of Pushing Upward: 升 shēng — Wind over Earth. Pushing Upward is the gentle meeting receptive, adapt as transformer.",Future signal from Pushing Upward: next move leans adapt within transformer. The Wind ascends from Earth foundation.
47,Oppression,困,kùn,䷮,010110,Kan,Dui,Water,Lake,dissipator,yin,WAIT,yin,0.54,0.58,0.47,0.22,0.45,deep_test,open_pleasure,4,Past echo from Oppression: Lake below Water — Energy scattering before reassembly revisited. The joyous root feeds memory.,"Present voice of Oppression: 困 kùn — Water over Lake. Oppression is the abysmal meeting joyous, wait as dissipator.",Future signal from Oppression: next move leans wait within dissipator. The Water ascends from Lake foundation.
48,The Well,井,jǐng,䷯,011010,Xun,Kan,Wind,Water,boundary,yin,YIELD,yin,0.67,0.83,0.2,0.23,0.17,soft_persistence,deep_test,3,Past echo from The Well: Water below Wind — Edge-state trembling between worlds revisited. The abysmal root feeds memory.,"Present voice of The Well: 井 jǐng — Wind over Water. The Well is the gentle meeting abysmal, yield as boundary.",Future signal from The Well: next move leans yield within boundary. The Wind ascends from Water foundation.
49,Revolution,革,gé,䷰,101110,Li,Dui,Fire,Lake,transformer,yao,ASSERT,yang,0.88,0.82,0.22,0.27,0.14,persistent_clarity,open_pleasure,2,Past echo from Revolution: Lake below Fire — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Revolution: 革 gé — Fire over Lake. Revolution is the clinging meeting joyous, assert as transformer.",Future signal from Revolution: next move leans assert within transformer. The Fire ascends from Lake foundation.
50,The Cauldron,鼎,dǐng,䷱,011101,Xun,Li,Wind,Fire,sovereign,yang,ASSERT,yang,1.0,0.97,0.07,0.12,0.11,soft_persistence,persistent_clarity,1,Past echo from The Cauldron: Fire below Wind — Sovereign command echoing from genesis revisited. The clinging root feeds memory.,"Present voice of The Cauldron: 鼎 dǐng — Wind over Fire. The Cauldron is the gentle meeting clinging, assert as sovereign.",Future signal from The Cauldron: next move leans assert within sovereign. The Wind ascends from Fire foundation.
51,The Arousing,震,zhèn,䷲,100100,Zhen,Zhen,Thunder,Thunder,sovereign,yang,ASSERT,yang,0.94,0.93,0.13,0.18,0.23,sudden_awakening,sudden_awakening,1,Past echo from The Arousing: Thunder below Thunder — Sovereign command echoing from genesis revisited. The arousing root feeds memory.,"Present voice of The Arousing: 震 zhèn — Thunder over Thunder. The Arousing is the arousing meeting arousing, assert as sovereign.",Future signal from The Arousing: next move leans assert within sovereign. The Thunder ascends from Thunder foundation.
52,Keeping Still,艮,gèn,䷳,001001,Gen,Gen,Mountain,Mountain,boundary,yin,WAIT,yin,0.61,0.84,0.2,0.13,0.33,quiet_strength,quiet_strength,3,Past echo from Keeping Still: Mountain below Mountain — Edge-state trembling between worlds revisited. The still root feeds memory.,"Present voice of Keeping Still: 艮 gèn — Mountain over Mountain. Keeping Still is the still meeting still, wait as boundary.",Future signal from Keeping Still: next move leans wait within boundary. The Mountain ascends from Mountain foundation.
53,Development,漸,jiàn,䷴,001011,Gen,Xun,Mountain,Wind,transformer,yao,ADAPT,yao,0.8,0.7,0.35,0.4,0.15,quiet_strength,soft_persistence,2,Past echo from Development: Wind below Mountain — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of Development: 漸 jiàn — Mountain over Wind. Development is the still meeting gentle, adapt as transformer.",Future signal from Development: next move leans adapt within transformer. The Mountain ascends from Wind foundation.
54,The Marrying Maiden,歸妹,guī mèi,䷵,110100,Dui,Zhen,Lake,Thunder,dissipator,yin,YIELD,yin,0.57,0.55,0.5,0.35,0.35,open_pleasure,sudden_awakening,4,Past echo from The Marrying Maiden: Thunder below Lake — Energy scattering before reassembly revisited. The arousing root feeds memory.,"Present voice of The Marrying Maiden: 歸妹 guī mèi — Lake over Thunder. The Marrying Maiden is the joyous meeting arousing, yield as dissipator.",Future signal from The Marrying Maiden: next move leans yield within dissipator. The Lake ascends from Thunder foundation.
55,Abundance,豐,fēng,䷶,001101,Li,Zhen,Fire,Thunder,sovereign,yang,ASSERT,yang,0.97,0.95,0.1,0.15,0.17,persistent_clarity,sudden_awakening,1,Past echo from Abundance: Thunder below Fire — Sovereign command echoing from genesis revisited. The arousing root feeds memory.,"Present voice of Abundance: 豐 fēng — Fire over Thunder. Abundance is the clinging meeting arousing, assert as sovereign.",Future signal from Abundance: next move leans assert within sovereign. The Fire ascends from Thunder foundation.
56,The Wanderer,旅,lǚ,䷷,101100,Gen,Li,Mountain,Fire,dissipator,yin,ADAPT,yao,0.62,0.45,0.6,0.35,0.4,quiet_strength,persistent_clarity,4,Past echo from The Wanderer: Fire below Mountain — Energy scattering before reassembly revisited. The clinging root feeds memory.,"Present voice of The Wanderer: 旅 lǚ — Mountain over Fire. The Wanderer is the still meeting clinging, adapt as dissipator.",Future signal from The Wanderer: next move leans adapt within dissipator. The Mountain ascends from Fire foundation.
57,The Gentle,巽,xùn,䷸,011011,Xun,Xun,Wind,Wind,boundary,yin,YIELD,yin,0.7,0.85,0.17,0.2,0.11,soft_persistence,soft_persistence,3,Past echo from The Gentle: Wind below Wind — Edge-state trembling between worlds revisited. The gentle root feeds memory.,"Present voice of The Gentle: 巽 xùn — Wind over Wind. The Gentle is the gentle meeting gentle, yield as boundary.",Future signal from The Gentle: next move leans yield within boundary. The Wind ascends from Wind foundation.
58,The Joyous,兌,duì,䷹,110110,Dui,Dui,Lake,Lake,transformer,yao,YIELD,yin,0.78,0.82,0.22,0.37,0.04,open_pleasure,open_pleasure,2,Past echo from The Joyous: Lake below Lake — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of The Joyous: 兌 duì — Lake over Lake. The Joyous is the joyous meeting joyous, yield as transformer.",Future signal from The Joyous: next move leans yield within transformer. The Lake ascends from Lake foundation.
59,Dispersion,渙,huàn,䷺,010011,Kan,Xun,Water,Wind,dissipator,yin,ADAPT,yao,0.62,0.45,0.6,0.35,0.4,deep_test,soft_persistence,4,Past echo from Dispersion: Wind below Water — Energy scattering before reassembly revisited. The gentle root feeds memory.,"Present voice of Dispersion: 渙 huàn — Water over Wind. Dispersion is the abysmal meeting gentle, adapt as dissipator.",Future signal from Dispersion: next move leans adapt within dissipator. The Water ascends from Wind foundation.
60,Limitation,節,jié,䷻,110010,Dui,Kan,Lake,Water,boundary,yin,WAIT,yin,0.64,0.86,0.17,0.1,0.27,open_pleasure,deep_test,3,Past echo from Limitation: Water below Lake — Edge-state trembling between worlds revisited. The abysmal root feeds memory.,"Present voice of Limitation: 節 jié — Lake over Water. Limitation is the joyous meeting abysmal, wait as boundary.",Future signal from Limitation: next move leans wait within boundary. The Lake ascends from Water foundation.
61,Inner Truth,中孚,zhōng fú,䷼,110011,Dui,Xun,Lake,Wind,transformer,yao,YIELD,yin,0.78,0.82,0.22,0.37,0.04,open_pleasure,soft_persistence,2,Past echo from Inner Truth: Wind below Lake — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of Inner Truth: 中孚 zhōng fú — Lake over Wind. Inner Truth is the joyous meeting gentle, yield as transformer.",Future signal from Inner Truth: next move leans yield within transformer. The Lake ascends from Wind foundation.
62,Preponderance of the Small,小過,xiǎo guò,䷽,001100,Zhen,Gen,Thunder,Mountain,dissipator,yin,WAIT,yin,0.51,0.56,0.5,0.25,0.51,sudden_awakening,quiet_strength,4,Past echo from Preponderance of the Small: Mountain below Thunder — Energy scattering before reassembly revisited. The still root feeds memory.,"Present voice of Preponderance of the Small: 小過 xiǎo guò — Thunder over Mountain. Preponderance of the Small is the arousing meeting still, wait as dissipator.",Future signal from Preponderance of the Small: next move leans wait within dissipator. The Thunder ascends from Mountain foundation.
63,After Completion,既濟,jì jì,䷾,101010,Li,Kan,Fire,Water,boundary,yin,WAIT,yin,0.64,0.86,0.17,0.1,0.27,persistent_clarity,deep_test,3,Past echo from After Completion: Water below Fire — Edge-state trembling between worlds revisited. The abysmal root feeds memory.,"Present voice of After Completion: 既濟 jì jì — Fire over Water. After Completion is the clinging meeting abysmal, wait as boundary.",Future signal from After Completion: next move leans wait within boundary. The Fire ascends from Water foundation.
64,Before Completion,未濟,wèi jì,䷿,010101,Kan,Li,Water,Fire,transformer,yao,ADAPT,yao,0.8,0.7,0.35,0.4,0.15,deep_test,persistent_clarity,2,Past echo from Before Completion: Fire below Water — Form dissolving into new shape revisited. The clinging root feeds memory.,"Present voice of Before Completion: 未濟 wèi jì — Water over Fire. Before Completion is the abysmal meeting clinging, adapt as transformer.",Future signal from Before Completion: next move leans adapt within transformer. The Water ascends from Fire foundation.
